ANNEE;DEPARTEMENT;Age;Qmort;Survie
1806;AUDE;75;0,4299;207
1806;AUDE;80;0,5717;118
1806;AUDE;85;0,7368;51
1806;AVEYRON;0;0,2467;1000
1806;AVEYRON;5;0,0309;753
1806;AVEYRON;10;0,0207;730
1806;AVEYRON;15;0,0304;715
1806;AVEYRON;20;0,0397;693
1806;AVEYRON;25;0,043;666
1806;AVEYRON;30;0,046;637
1806;AVEYRON;35;0,0495;608
1806;AVEYRON;40;0,0534;578
1806;AVEYRON;45;0,0598;547
1806;AVEYRON;50;0,0759;514
1806;AVEYRON;55;0,1025;475
1806;AVEYRON;60;0,1478;426
1806;AVEYRON;65;0,2146;363
1806;AVEYRON;70;0,3154;285
1806;AVEYRON;75;0,4343;195
1806;AVEYRON;80;0,5752;111
1806;AVEYRON;85;0,7393;47
1806;BOUCHES-DU-RHONE;0;0,3441;1000
1806;BOUCHES-DU-RHONE;5;0,0457;656
1806;BOUCHES-DU-RHONE;10;0,0291;626
1806;BOUCHES-DU-RHONE;15;0,0414;608
1806;BOUCHES-DU-RHONE;20;0,0534;583
1806;BOUCHES-DU-RHONE;25;0,0572;551
1806;BOUCHES-DU-RHONE;30;0,0605;520
1806;BOUCHES-DU-RHONE;35;0,0636;488
1806;BOUCHES-DU-RHONE;40;0,0664;457
1806;BOUCHES-DU-RHONE;45;0,0713;427
1806;BOUCHES-DU-RHONE;50;0,0881;397
1806;BOUCHES-DU-RHONE;55;0,1173;362
1806;BOUCHES-DU-RHONE;60;0,1664;319
1806;BOUCHES-DU-RHONE;65;0,2376;266
1806;BOUCHES-DU-RHONE;70;0,3419;203
1806;BOUCHES-DU-RHONE;75;0,4594;134
1806;BOUCHES-DU-RHONE;80;0,5949;72
1806;BOUCHES-DU-RHONE;85;0,753;29
1806;CALVADOS;0;0,1653;1000
1806;CALVADOS;5;0,0193;835
1806;CALVADOS;10;0,0137;819
1806;CALVADOS;15;0,0209;807
1806;CALVADOS;20;0,0277;791
1806;CALVADOS;25;0,0305;769
1806;CALVADOS;30;0,033;745
1806;CALVADOS;35;0,0366;721
1806;CALVADOS;40;0,0411;694
1806;CALVADOS;45;0,0485;666
1806;CALVADOS;50;0,0634;633
1806;CALVADOS;55;0,0871;593
1806;CALVADOS;60;0,1281;542
1806;CALVADOS;65;0,1899;472
1806;CALVADOS;70;0,2861;383
1806;CALVADOS;75;0,4059;273
1806;CALVADOS;80;0,5523;162
1806;CALVADOS;85;0,7233;73
1806;CANTAL;0;0,3545;1000
1806;CANTAL;5;0,0474;646
1806;CANTAL;10;0,03;615
1806;CANTAL;15;0,0426;596
1806;CANTAL;20;0,0548;571
1806;CANTAL;25;0,0587;540
1806;CANTAL;30;0,062;508
1806;CANTAL;35;0,065;477
1806;CANTAL;40;0,0678;446
1806;CANTAL;45;0,0724;415
1806;CANTAL;50;0,0893;385
1806;CANTAL;55;0,1187;351
1806;CANTAL;60;0,1682;309
1806;CANTAL;65;0,2398;257
1806;CANTAL;70;0,3444;196
1806;CANTAL;75;0,4617;128
1806;CANTAL;80;0,5966;69
1806;CANTAL;85;0,7543;28
1806;CHARENTE;0;0,2791;1000
1806;CHARENTE;5;0,0358;721
1806;CHARENTE;10;0,0235;695
1806;CHARENTE;15;0,0341;679
1806;CHARENTE;20;0,0443;656
1806;CHARENTE;25;0,0478;627
1806;CHARENTE;30;0,0509;597
1806;CHARENTE;35;0,0543;566
1806;CHARENTE;40;0,0579;536
1806;CHARENTE;45;0,0638;504
1806;CHARENTE;50;0,0802;472
1806;CHARENTE;55;0,1078;434
1806;CHARENTE;60;0,1544;388
1806;CHARENTE;65;0,2229;328
1806;CHARENTE;70;0,325;255
1806;CHARENTE;75;0,4434;172
1806;CHARENTE;80;0,5824;96
1806;CHARENTE;85;0,7443;40
1806;CHARENTE-INFERIEURE;0;0,2349;1000
1806;CHARENTE-INFERIEURE;5;0,0292;765
1806;CHARENTE-INFERIEURE;10;0,0197;743
1806;CHARENTE-INFERIEURE;15;0,029;728
1806;CHARENTE-INFERIEURE;20;0,038;707
1806;CHARENTE-INFERIEURE;25;0,0412;680
1806;CHARENTE-INFERIEURE;30;0,0441;652
1806;CHARENTE-INFERIEURE;35;0,0477;623
1806;CHARENTE-INFERIEURE;40;0,0517;594
1806;CHARENTE-INFERIEURE;45;0,0583;563
1806;CHARENTE-INFERIEURE;50;0,0742;530
1806;CHARENTE-INFERIEURE;55;0,1005;491
1806;CHARENTE-INFERIEURE;60;0,1452;441
1806;CHARENTE-INFERIEURE;65;0,2114;377
1806;CHARENTE-INFERIEURE;70;0,3116;298
1806;CHARENTE-INFERIEURE;75;0,4307;205
1806;CHARENTE-INFERIEURE;80;0,5723;117
1806;CHARENTE-INFERIEURE;85;0,7373;50
1806;CHER;0;0,3788;1000
1806;CHER;5;0,0512;621
1806;CHER;10;0,0321;589
1806;CHER;15;0,0453;570
1806;CHER;20;0,0582;545
1806;CHER;25;0,0621;513
1806;CHER;30;0,0655;481
1806;CHER;35;0,0683;450
1806;CHER;40;0,0708;419
1806;CHER;45;0,0749;389
1806;CHER;50;0,092;360
1806;CHER;55;0,1219;327
1806;CHER;60;0,1723;287
1806;CHER;65;0,2447;238
1806;CHER;70;0,35;179
1806;CHER;75;0,4669;117
1806;CHER;80;0,6007;62
1806;CHER;85;0,7571;25
1806;CORREZE;0;0,4484;1000
1806;CORREZE;5;0,0625;552
1806;CORREZE;10;0,0382;517
1806;CORREZE;15;0,053;497
1806;CORREZE;20;0,0676;471
1806;CORREZE;25;0,0718;439
1806;CORREZE;30;0,0752;408
1806;CORREZE;35;0,0776;377
1806;CORREZE;40;0,0791;348
1806;CORREZE;45;0,0819;320
1806;CORREZE;50;0,0993;294
1806;CORREZE;55;0,1306;265
1806;CORREZE;60;0,183;230
1806;CORREZE;65;0,2576;188
1806;CORREZE;70;0,3647;140
1806;CORREZE;75;0,4804;89
1806;CORREZE;80;0,611;46
1806;CORREZE;85;0,7643;18
1806;CORSE;0;0,394;1000
1806;CORSE;5;0,0536;606
1806;CORSE;10;0,0335;574
1806;CORSE;15;0,047;554
1806;CORSE;20;0,0602;528
1806;CORSE;25;0,0642;496
1806;CORSE;30;0,0676;465
1806;CORSE;35;0,0704;433
1806;CORSE;40;0,0726;403
1806;CORSE;45;0,0765;373
1806;CORSE;50;0,0937;345
1806;CORSE;55;0,1239;313
1806;CORSE;60;0,1747;274
1806;CORSE;65;0,2476;226
1806;CORSE;70;0,3534;170
1806;CORSE;75;0,47;110
1806;CORSE;80;0,6031;58
1806;CORSE;85;0,7587;23
1806;COTE-D-OR;0;0,2393;1000
1806;COTE-D-OR;5;0,0298;761
1806;COTE-D-OR;10;0,02;738
1806;COTE-D-OR;15;0,0295;723
1806;COTE-D-OR;20;0,0386;702
1806;COTE-D-OR;25;0,0419;675
1806;COTE-D-OR;30;0,0448;647
1806;COTE-D-OR;35;0,0484;618
1806;COTE-D-OR;40;0,0524;588
1806;COTE-D-OR;45;0,0589;557
1806;COTE-D-OR;50;0,0749;524
1806;COTE-D-OR;55;0,1012;485
1806;COTE-D-OR;60;0,1462;436
1806;COTE-D-OR;65;0,2126;372
1806;COTE-D-OR;70;0,313;293
1806;COTE-D-OR;75;0,432;201
1806;COTE-D-OR;80;0,5734;114
1806;COTE-D-OR;85;0,738;49
1806;COTES-DU-NORD;0;0,3511;1000
1806;COTES-DU-NORD;5;0,0468;649
1806;COTES-DU-NORD;10;0,0297;619
1806;COTES-DU-NORD;15;0,0422;600
1806;COTES-DU-NORD;20;0,0543;575
1806;COTES-DU-NORD;25;0,0582;544
1806;COTES-DU-NORD;30;0,0615;512
1806;COTES-DU-NORD;35;0,0645;480
1806;COTES-DU-NORD;40;0,0673;450
1806;COTES-DU-NORD;45;0,072;419
1806;COTES-DU-NORD;50;0,0889;389
1806;COTES-DU-NORD;55;0,1182;354
1806;COTES-DU-NORD;60;0,1676;313
1806;COTES-DU-NORD;65;0,2391;260
1806;COTES-DU-NORD;70;0,3436;198
1806;COTES-DU-NORD;75;0,4609;130
1806;COTES-DU-NORD;80;0,5961;70
1806;COTES-DU-NORD;85;0,7539;28
1806;CREUSE;0;0,4526;1000
1806;CREUSE;5;0,0632;547
1806;CREUSE;10;0,0386;513
1806;CREUSE;15;0,0534;493
1806;CREUSE;20;0,0682;467
1806;CREUSE;25;0,0724;435
1806;CREUSE;30;0,0758;403
1806;CREUSE;35;0,0781;373
1806;CREUSE;40;0,0795;344
1806;CREUSE;45;0,0823;316
1806;CREUSE;50;0,0997;290
1806;CREUSE;55;0,1311;261
1806;CREUSE;60;0,1836;227
1806;CREUSE;65;0,2584;185
1806;CREUSE;70;0,3655;138
1806;CREUSE;75;0,4811;87
1806;CREUSE;80;0,6116;45
1806;CREUSE;85;0,7647;18
1806;DORDOGNE;0;0,2992;1000
1806;DORDOGNE;5;0,0388;701
1806;DORDOGNE;10;0,0252;674
1806;DORDOGNE;15;0,0364;657
1806;DORDOGNE;20;0,0471;633
1806;DORDOGNE;25;0,0507;603
1806;DORDOGNE;30;0,0539;572
1806;DORDOGNE;35;0,0572;542
1806;DORDOGNE;40;0,0606;511
1806;DORDOGNE;45;0,0662;480
1806;DORDOGNE;50;0,0828;448
1806;DORDOGNE;55;0,1108;411
1806;DORDOGNE;60;0,1583;365
1806;DORDOGNE;65;0,2277;307
1806;DORDOGNE;70;0,3305;237
1806;DORDOGNE;75;0,4486;159
1806;DORDOGNE;80;0,5865;88
1806;DORDOGNE;85;0,7472;36
1806;DOUBS;0;0,256;1000
1806;DOUBS;5;0,0323;744
1806;DOUBS;10;0,0215;720
1806;DOUBS;15;0,0315;704
1806;DOUBS;20;0,041;682
1806;DOUBS;25;0,0444;654
1806;DOUBS;30;0,0474;625
1806;DOUBS;35;0,0509;596
1806;DOUBS;40;0,0547;565
1806;DOUBS;45;0,061;534
1806;DOUBS;50;0,0772;502
1806;DOUBS;55;0,104;463
1806;DOUBS;60;0,1497;415
1806;DOUBS;65;0,2171;353
1806;DOUBS;70;0,3182;276
1806;DOUBS;75;0,437;188
1806;DOUBS;80;0,5773;106
1806;DOUBS;85;0,7408;45
1806;DROME;0;0,2924;1000
1806;DROME;5;0,0378;708
1806;DROME;10;0,0246;681
1806;DROME;15;0,0356;664
1806;DROME;20;0,0462;640
1806;DROME;25;0,0497;611
1806;DROME;30;0,0529;581
1806;DROME;35;0,0562;550
1806;DROME;40;0,0597;519
1806;DROME;45;0,0654;488
1806;DROME;50;0,0819;456
1806;DROME;55;0,1098;419
1806;DROME;60;0,157;373
1806;DROME;65;0,2261;314
1806;DROME;70;0,3287;243
1806;DROME;75;0,4469;163
1806;DROME;80;0,5851;90
1806;DROME;85;0,7462;37
1806;EURE;0;0,2066;1000
1806;EURE;5;0,0251;793
1806;EURE;10;0,0172;773
1806;EURE;15;0,0258;760
1806;EURE;20;0,0338;741
1806;EURE;25;0,0369;716
1806;EURE;30;0,0397;689
1806;EURE;35;0,0433;662
1806;EURE;40;0,0475;633
1806;EURE;45;0,0545;603
1806;EURE;50;0,0701;570
1806;EURE;55;0,0954;530
1806;EURE;60;0,1387;480
1806;EURE;65;0,2033;413
1806;EURE;70;0,302;329
1806;EURE;75;0,4214;230
1806;EURE;80;0,5649;133
1806;EURE;85;0,7321;58
1806;EURE-ET-LOIR;0;0,2923;1000
1806;EURE-ET-LOIR;5;0,0377;708
1806;EURE-ET-LOIR;10;0,0246;681
1806;EURE-ET-LOIR;15;0,0356;664
1806;EURE-ET-LOIR;20;0,0461;641
1806;EURE-ET-LOIR;25;0,0497;611
1806;EURE-ET-LOIR;30;0,0529;581
1806;EURE-ET-LOIR;35;0,0562;550
1806;EURE-ET-LOIR;40;0,0597;519
