"";"ANNEE";"DEPARTEMENT";"Age";"Qmort";"Survie";"EdVieRes"
"107";1806;"ARDECHE";80;0,5649;0,133;0,955
"108";1806;"ARDECHE";85;0,7321;0,058;0,29
"109";1806;"ARDENNES";0;0,2297;1;48,305
"110";1806;"ARDENNES";10;0,0192;0,748;39,455
"111";1806;"ARDENNES";15;0,0284;0,734;35,715
"112";1806;"ARDENNES";20;0,0372;0,713;32,045
"113";1806;"ARDENNES";25;0,0404;0,687;28,48
"114";1806;"ARDENNES";30;0,0433;0,659;25,045
"115";1806;"ARDENNES";35;0,0469;0,63;21,75
"116";1806;"ARDENNES";40;0,051;0,601;18,6
"117";1806;"ARDENNES";45;0,0576;0,57;15,595
"118";1806;"ARDENNES";5;0,0284;0,77;43,305
"119";1806;"ARDENNES";50;0,0735;0,537;12,745
"120";1806;"ARDENNES";55;0,0996;0,498;10,06
"121";1806;"ARDENNES";60;0,1441;0,448;7,57
"122";1806;"ARDENNES";65;0,21;0,384;5,33
"123";1806;"ARDENNES";70;0,3099;0,303;3,41
"124";1806;"ARDENNES";75;0,4291;0,209;1,895
"125";1806;"ARDENNES";80;0,571;0,119;0,85
"126";1806;"ARDENNES";85;0,7364;0,051;0,255
"127";1806;"ARIEGE";0;0,2203;1;49,215
"128";1806;"ARIEGE";10;0,0184;0,759;40,315
"129";1806;"ARIEGE";15;0,0274;0,745;36,52
"130";1806;"ARIEGE";20;0,0358;0,724;32,795
"131";1806;"ARIEGE";25;0,039;0,698;29,175
"132";1806;"ARIEGE";30;0,0419;0,671;25,685
"133";1806;"ARIEGE";35;0,0455;0,643;22,33
"134";1806;"ARIEGE";40;0,0496;0,614;19,115
"135";1806;"ARIEGE";45;0,0564;0,583;16,045
"136";1806;"ARIEGE";5;0,0271;0,78;44,215
"137";1806;"ARIEGE";50;0,0721;0,55;13,13
"138";1806;"ARIEGE";55;0,0979;0,511;10,38
"139";1806;"ARIEGE";60;0,1419;0,461;7,825
"140";1806;"ARIEGE";65;0,2073;0,395;5,52
"141";1806;"ARIEGE";70;0,3068;0,313;3,545
"142";1806;"ARIEGE";75;0,426;0,217;1,98
"143";1806;"ARIEGE";80;0,5686;0,125;0,895
"144";1806;"ARIEGE";85;0,7347;0,054;0,27
"145";1806;"AUBE";0;0,2912;1;42,775
"146";1806;"AUBE";10;0,0245;0,682;34,23
"147";1806;"AUBE";15;0,0355;0,665;30,82
"148";1806;"AUBE";20;0,046;0,642;27,495
"149";1806;"AUBE";25;0,0496;0,612;24,285
"150";1806;"AUBE";30;0,0527;0,582;21,225
"151";1806;"AUBE";35;0,0561;0,551;18,315
"152";1806;"AUBE";40;0,0596;0,52;15,56
"153";1806;"AUBE";45;0,0653;0,489;12,96
"154";1806;"AUBE";5;0,0376;0,709;37,775
"155";1806;"AUBE";50;0,0818;0,457;10,515
"156";1806;"AUBE";55;0,1096;0,42;8,23
"157";1806;"AUBE";60;0,1568;0,374;6,13
"158";1806;"AUBE";65;0,2258;0,315;4,26
"159";1806;"AUBE";70;0,3284;0,244;2,685
"160";1806;"AUBE";75;0,4466;0,164;1,465
"161";1806;"AUBE";80;0,5849;0,091;0,645
"162";1806;"AUBE";85;0,7461;0,038;0,19
"163";1806;"AUDE";0;0,2323;1;48,075
"164";1806;"AUDE";10;0,0194;0,746;39,235
"165";1806;"AUDE";15;0,0287;0,731;35,505
"166";1806;"AUDE";20;0,0376;0,71;31,85
"167";1806;"AUDE";25;0,0408;0,683;28,3
"168";1806;"AUDE";30;0,0437;0,656;24,885
"169";1806;"AUDE";35;0,0473;0,627;21,605
"170";1806;"AUDE";40;0,0513;0,597;18,47
"171";1806;"AUDE";45;0,058;0,567;15,485
"172";1806;"AUDE";5;0,0288;0,768;43,075
"173";1806;"AUDE";50;0,0739;0,534;12,65
"174";1806;"AUDE";55;0,1;0,494;9,98
"175";1806;"AUDE";60;0,1446;0,445;7,51
"176";1806;"AUDE";65;0,2107;0,381;5,285
"177";1806;"AUDE";70;0,3108;0,3;3,38
"178";1806;"AUDE";75;0,4299;0,207;1,88
"179";1806;"AUDE";80;0,5717;0,118;0,845
"180";1806;"AUDE";85;0,7368;0,051;0,255
"181";1806;"AVEYRON";0;0,2467;1;46,715
"182";1806;"AVEYRON";10;0,0207;0,73;37,95
"183";1806;"AVEYRON";15;0,0304;0,715;34,3
"184";1806;"AVEYRON";20;0,0397;0,693;30,725
"185";1806;"AVEYRON";25;0,043;0,666;27,26
"186";1806;"AVEYRON";30;0,046;0,637;23,93
"187";1806;"AVEYRON";35;0,0495;0,608;20,745
"188";1806;"AVEYRON";40;0,0534;0,578;17,705
"189";1806;"AVEYRON";45;0,0598;0,547;14,815
"190";1806;"AVEYRON";5;0,0309;0,753;41,715
