"";"ANNEE";"DEPARTEMENT";"Qmort[0-4]";"Qmort[5-9]";"Qmort[10-14]";"Qmort[15-19]";"Qmort[20-24]";"Qmort[25-29]";"Qmort[30-34]";"Qmort[35-40]";"Qmort[40-44]";"Qmort[45-49]";"Qmort[50-54]";"Qmort[55-59]";"Qmort[60-64]";"Qmort[65-69]";"Qmort[70-74]";"Qmort[75-79]";"Qmort[80-85]";"Qmort[85-...]"
"30";1806;"GARD";0,2382;0,0297;0,02;0,0294;0,0384;0,0417;0,0446;0,0482;0,0522;0,0587;0,0747;0,101;0,1459;0,2123;0,3127;0,4317;0,5731;0,7378
"31";1806;"GARONNE(HAUTE-)";0,2406;0,03;0,0202;0,0297;0,0388;0,0421;0,045;0,0486;0,0525;0,059;0,0751;0,1015;0,1465;0,213;0,3135;0,4324;0,5737;0,7383
"32";1806;"GERS";0,2629;0,0333;0,0221;0,0322;0,042;0,0454;0,0484;0,0519;0,0557;0,0618;0,0781;0,1052;0,1512;0,2188;0,3203;0,4389;0,5789;0,7419
"33";1806;"GIRONDE";0,3936;0,0536;0,0334;0,0469;0,0602;0,0642;0,0676;0,0703;0,0726;0,0765;0,0936;0,1239;0,1746;0,2476;0,3533;0,4699;0,603;0,7587
"34";1806;"HERAULT";0,2124;0,0259;0,0177;0,0264;0,0347;0,0378;0,0406;0,0442;0,0484;0,0553;0,071;0,0965;0,1401;0,205;0,3041;0,4234;0,5665;0,7332
"35";1806;"ILLE-ET-VILAINE";0,345;0,0459;0,0292;0,0415;0,0535;0,0573;0,0606;0,0637;0,0666;0,0714;0,0882;0,1174;0,1666;0,2378;0,3422;0,4596;0,595;0,7531
"36";1806;"INDRE";0,4237;0,0584;0,0361;0,0502;0,0643;0,0684;0,0718;0,0743;0,0762;0,0795;0,0968;0,1276;0,1793;0,2532;0,3597;0,4758;0,6075;0,7618
"37";1806;"INDRE-ET-LOIRE";0,2501;0,0314;0,021;0,0308;0,0401;0,0435;0,0465;0,05;0,0539;0,0603;0,0764;0,1031;0,1485;0,2155;0,3164;0,4353;0,576;0,7398
"38";1806;"ISERE";0,4125;0,0566;0,0351;0,049;0,0628;0,0668;0,0702;0,0728;0,0748;0,0784;0,0956;0,1262;0,1776;0,2511;0,3573;0,4736;0,6059;0,7607
"39";1806;"JURA";0,3943;0,0537;0,0335;0,047;0,0603;0,0643;0,0677;0,0704;0,0727;0,0765;0,0937;0,1239;0,1748;0,2477;0,3535;0,4701;0,6031;0,7588
"40";1806;"LANDES";0,4305;0,0595;0,0367;0,051;0,0652;0,0693;0,0728;0,0752;0,077;0,0802;0,0975;0,1284;0,1803;0,2544;0,3611;0,4771;0,6085;0,7625
"41";1806;"LOIR-ET-CHER";0,3218;0,0423;0,0272;0,0389;0,0503;0,054;0,0572;0,0604;0,0636;0,0688;0,0855;0,1141;0,1625;0,2328;0,3364;0,4542;0,5908;0,7502
"42";1806;"LOIRE";0,3647;0,049;0,0309;0,0437;0,0562;0,0601;0,0635;0,0664;0,069;0,0735;0,0905;0,1201;0,1699;0,2419;0,3468;0,4639;0,5984;0,7555
"43";1806;"LOIRE-INFERIEURE";0,2158;0,0264;0,018;0,0268;0,0352;0,0383;0,0412;0,0448;0,0489;0,0558;0,0715;0,0971;0,1409;0,206;0,3053;0,4245;0,5674;0,7339
"44";1806;"LOIRE(HAUTE-)";0,3774;0,051;0,032;0,0451;0,058;0,0619;0,0653;0,0681;0,0706;0,0748;0,0919;0,1218;0,172;0,2444;0,3497;0,4666;0,6004;0,7569
"45";1806;"LOIRET";0,3572;0,0478;0,0303;0,0429;0,0552;0,059;0,0624;0,0654;0,0681;0,0727;0,0896;0,1191;0,1687;0,2403;0,3451;0,4623;0,5971;0,7546
"46";1806;"LOT";0,1641;0,0191;0,0136;0,0208;0,0276;0,0303;0,0328;0,0364;0,0409;0,0483;0,0632;0,0869;0,1277;0,1895;0,2856;0,4054;0,5519;0,7231
"47";1806;"LOT-ET-GARONNE";0,2099;0,0256;0,0175;0,0262;0,0343;0,0374;0,0402;0,0438;0,048;0,055;0,0706;0,096;0,1395;0,2043;0,3032;0,4226;0,5659;0,7328
"48";1806;"LOZERE";0,2848;0,0366;0,024;0,0347;0,0451;0,0486;0,0517;0,0551;0,0587;0,0645;0,081;0,1086;0,1556;0,2242;0,3266;0,4449;0,5836;0,7451
"49";1806;"MAINE-ET-LOIRE";0,2443;0,0306;0,0205;0,0301;0,0393;0,0426;0,0456;0,0491;0,0531;0,0595;0,0756;0,1021;0,1473;0,214;0,3146;0,4335;0,5746;0,7389
"50";1806;"MANCHE";0,2652;0,0337;0,0223;0,0325;0,0423;0,0457;0,0488;0,0523;0,056;0,0621;0,0784;0,1055;0,1516;0,2194;0,321;0,4396;0,5794;0,7422
"51";1806;"MARNE";0,2755;0,0352;0,0232;0,0337;0,0438;0,0473;0,0503;0,0538;0,0574;0,0634;0,0798;0,1072;0,1537;0,222;0,324;0,4424;0,5816;0,7438
"52";1806;"MARNE(HAUTE-)";0,2212;0,0272;0,0185;0,0275;0,036;0,0391;0,042;0,0456;0,0497;0,0565;0,0723;0,0981;0,1421;0,2076;0,3071;0,4263;0,5689;0,7349
"53";1806;"MAYENNE";0,448;0,0624;0,0382;0,0529;0,0676;0,0717;0,0752;0,0775;0,079;0,0819;0,0992;0,1305;0,1829;0,2576;0,3646;0,4803;0,6109;0,7642
"54";1806;"MEURTHE";0,2506;0,0315;0,021;0,0308;0,0402;0,0436;0,0466;0,0501;0,054;0,0603;0,0764;0,1032;0,1486;0,2157;0,3166;0,4354;0,5761;0,7399
"55";1806;"MEUSE";0,2735;0,0349;0,023;0,0335;0,0435;0,047;0,05;0,0535;0,0572;0,0632;0,0795;0,1069;0,1533;0,2215;0,3234;0,4419;0,5812;0,7435
"56";1806;"MORBIHAN";0,5495;0,0794;0,0471;0,064;0,0811;0,0855;0,089;0,0904;0,0903;0,0911;0,1088;0,1418;0,1968;0,2742;0,3832;0,4972;0,6237;0,7731
"57";1806;"MOSELLE";0,2432;0,0304;0,0204;0,03;0,0392;0,0425;0,0454;0,049;0,0529;0,0594;0,0754;0,1019;0,147;0,2137;0,3143;0,4332;0,5743;0,7387
"58";1806;"NIEVRE";0,4005;0,0547;0,034;0,0477;0,0611;0,0652;0,0686;0,0713;0,0734;0,0772;0,0944;0,1247;0,1757;0,2489;0,3548;0,4713;0,6041;0,7594
"59";1806;"NORD";0,2281;0,0282;0,0191;0,0283;0,037;0,0402;0,0431;0,0467;0,0507;0,0574;0,0733;0,0993;0,1437;0,2095;0,3094;0,4285;0,5706;0,7361
"60";1806;"OISE";0,2837;0,0364;0,0239;0,0346;0,0449;0,0485;0,0516;0,055;0,0585;0,0644;0,0808;0,1085;0,1553;0,224;0,3263;0,4446;0,5834;0,745
"61";1806;"ORNE";0,2359;0,0293;0,0198;0,0292;0,0381;0,0414;0,0443;0,0479;0,0519;0,0584;0,0744;0,1007;0,1454;0,2117;0,312;0,431;0,5726;0,7375
"62";1806;"PAS-DE-CALAIS";0,2248;0,0277;0,0188;0,0279;0,0365;0,0397;0,0426;0,0462;0,0503;0,057;0,0728;0,0987;0,1429;0,2086;0,3083;0,4275;0,5698;0,7355
"63";1806;"PUY-DE-DOME";0,3925;0,0534;0,0333;0,0468;0,06;0,064;0,0674;0,0702;0,0724;0,0764;0,0935;0,1237;0,1745;0,2474;0,3531;0,4697;0,6028;0,7586
"64";1806;"PYRENEES-ORIENTALES";0,2885;0,0372;0,0243;0,0352;0,0456;0,0492;0,0523;0,0557;0,0592;0,065;0,0814;0,1092;0,1563;0,2251;0,3276;0,4459;0,5844;0,7457
"65";1806;"PYRENEES(BASSES-)";0,2194;0,0269;0,0183;0,0273;0,0357;0,0389;0,0417;0,0453;0,0495;0,0562;0,072;0,0977;0,1417;0,2071;0,3065;0,4257;0,5684;0,7345
"66";1806;"PYRENEES(HAUTES-)";0,147;0,0168;0,0121;0,0188;0,025;0,0275;0,03;0,0335;0,038;0,0456;0,0601;0,0831;0,1228;0,1832;0,278;0,3979;0,5458;0,7188
"67";1806;"RHIN(BAS-)";0,3162;0,0414;0,0267;0,0383;0,0495;0,0532;0,0564;0,0597;0,0629;0,0682;0,0849;0,1133;0,1615;0,2315;0,335;0,4529;0,5898;0,7495
"68";1806;"RHIN(HAUT-)";0,2227;0,0274;0,0186;0,0276;0,0362;0,0394;0,0422;0,0458;0,0499;0,0567;0,0725;0,0983;0,1425;0,208;0,3076;0,4268;0,5692;0,7351
"69";1806;"RHONE";0,4302;0,0595;0,0366;0,051;0,0651;0,0693;0,0727;0,0752;0,0769;0,0801;0,0975;0,1284;0,1803;0,2544;0,361;0,477;0,6084;0,7625
"70";1806;"SAONE-ET-LOIRE";0,3692;0,0497;0,0313;0,0442;0,0568;0,0607;0,0641;0,067;0,0696;0,0739;0,091;0,1207;0,1707;0,2428;0,3478;0,4649;0,5991;0,756
"71";1806;"SAONE(HAUTE-)";0,3276;0,0432;0,0277;0,0396;0,0511;0,0548;0,0581;0,0613;0,0643;0,0694;0,0862;0,115;0,1635;0,2341;0,3379;0,4556;0,5919;0,7509
"72";1806;"SARTHE";0,3437;0,0457;0,0291;0,0414;0,0533;0,0571;0,0604;0,0635;0,0664;0,0712;0,0881;0,1172;0,1664;0,2375;0,3419;0,4593;0,5948;0,753
"73";1806;"SEINE";0,4159;0,0572;0,0354;0,0494;0,0632;0,0673;0,0707;0,0733;0,0752;0,0787;0,096;0,1267;0,1781;0,2518;0,3581;0,4743;0,6064;0,761
"74";1806;"SEINE-ET-MARNE";0,2977;0,0386;0,0251;0,0362;0,0469;0,0505;0,0537;0,057;0,0604;0,066;0,0826;0,1106;0,1581;0,2273;0,3301;0,4483;0,5862;0,747
"75";1806;"SEINE-ET-OISE";0,245;0,0307;0,0205;0,0302;0,0394;0,0427;0,0457;0,0492;0,0532;0,0596;0,0757;0,1022;0,1474;0,2142;0,3148;0,4337;0,5748;0,739
"76";1806;"SEINE-INFERIEURE";0,1713;0,0201;0,0142;0,0217;0,0286;0,0314;0,034;0,0376;0,0421;0,0494;0,0644;0,0884;0,1297;0,192;0,2886;0,4083;0,5543;0,7247
"77";1806;"SEVRES(DEUX-)";0,236;0,0293;0,0198;0,0292;0,0381;0,0414;0,0443;0,0479;0,0519;0,0584;0,0744;0,1007;0,1454;0,2117;0,312;0,431;0,5726;0,7375
"78";1806;"SOMME";0,2285;0,0282;0,0191;0,0283;0,037;0,0402;0,0431;0,0467;0,0508;0,0575;0,0733;0,0994;0,1438;0,2097;0,3095;0,4287;0,5707;0,7362
"79";1806;"TARN";0,2123;0,0259;0,0177;0,0264;0,0347;0,0378;0,0406;0,0442;0,0484;0,0553;0,0709;0,0964;0,14;0,205;0,304;0,4234;0,5665;0,7332
"80";1806;"TARN-ET-GARONNE";0,1961;0,0236;0,0163;0,0246;0,0323;0,0353;0,038;0,0417;0,0459;0,053;0,0685;0,0934;0,1361;0,2001;0,2983;0,4178;0,562;0,7301
"81";1806;"VAR";0,293;0,0378;0,0247;0,0357;0,0462;0,0498;0,053;0,0563;0,0598;0,0655;0,082;0,1099;0,1571;0,2262;0,3288;0,4471;0,5853;0,7463
"82";1806;"VAUCLUSE";0,2421;0,0302;0,0203;0,0299;0,039;0,0423;0,0453;0,0488;0,0528;0,0592;0,0753;0,1017;0,1468;0,2134;0,3139;0,4329;0,5741;0,7385
"83";1806;"VENDEE";0,355;0,0474;0,0301;0,0426;0,0549;0,0587;0,0621;0,0651;0,0678;0,0724;0,0894;0,1188;0,1683;0,2399;0,3445;0,4618;0,5967;0,7543
"84";1806;"VIENNE";0,1727;0,0203;0,0143;0,0218;0,0288;0,0316;0,0342;0,0379;0,0423;0,0496;0,0646;0,0887;0,1301;0,1924;0,2892;0,4089;0,5548;0,725
"85";1806;"VIENNE(HAUTE-)";0,4996;0,0709;0,0427;0,0586;0,0745;0,0788;0,0823;0,0841;0,0849;0,0867;0,1042;0,1364;0,1902;0,2663;0,3744;0,4892;0,6177;0,769
"86";1806;"VOSGES";0,3149;0,0412;0,0266;0,0381;0,0493;0,053;0,0562;0,0595;0,0627;0,068;0,0847;0,1131;0,1612;0,2312;0,3346;0,4525;0,5895;0,7493
"87";1806;"YONNE";0,2982;0,0386;0,0251;0,0362;0,047;0,0506;0,0537;0,0571;0,0605;0,0661;0,0827;0,1107;0,1581;0,2274;0,3302;0,4484;0,5863;0,747
"88";1811;"AIN";0,393;0,0535;0,0334;0,0468;0,0601;0,0641;0,0675;0,0702;0,0725;0,0764;0,0936;0,1238;0,1745;0,2474;0,3532;0,4698;0,6029;0,7586
"89";1811;"AISNE";0,2638;0,0334;0,0222;0,0323;0,0421;0,0455;0,0486;0,0521;0,0558;0,062;0,0782;0,1053;0,1514;0,2191;0,3205;0,4392;0,5791;0,742
"90";1811;"ALLIER";0,386;0,0524;0,0328;0,0461;0,0591;0,0631;0,0665;0,0693;0,0716;0,0757;0,0928;0,1229;0,1734;0,2461;0,3516;0,4684;0,6018;0,7579
"91";1811;"ALPES(BASSES-)";0,4557;0,0637;0,0389;0,0538;0,0686;0,0728;0,0763;0,0785;0,0799;0,0826;0,1;0,1314;0,184;0,2589;0,3661;0,4817;0,612;0,765
"92";1811;"ALPES(HAUTES-)";0,5304;0,0761;0,0454;0,0619;0,0786;0,0829;0,0864;0,088;0,0883;0,0895;0,1071;0,1398;0,1943;0,2712;0,3799;0,4942;0,6215;0,7716
"93";1811;"ARDECHE";0,2183;0,0268;0,0182;0,0271;0,0356;0,0387;0,0415;0,0451;0,0493;0,0561;0,0718;0,0975;0,1414;0,2067;0,3061;0,4254;0,5681;0,7343
"94";1811;"ARDENNES";0,2035;0,0246;0,017;0,0254;0,0334;0,0364;0,0392;0,0428;0,0471;0,0541;0,0696;0,0948;0,1379;0,2024;0,301;0,4204;0,5641;0,7315
"95";1811;"ARIEGE";0,2504;0,0315;0,021;0,0308;0,0402;0,0435;0,0465;0,0501;0,0539;0,0603;0,0764;0,1031;0,1486;0,2156;0,3165;0,4353;0,576;0,7399
"96";1811;"AUBE";0,2505;0,0315;0,021;0,0308;0,0402;0,0435;0,0465;0,0501;0,054;0,0603;0,0764;0,1031;0,1486;0,2156;0,3165;0,4354;0,5761;0,7399
"97";1811;"AUDE";0,2737;0,0349;0,023;0,0335;0,0435;0,047;0,0501;0,0535;0,0572;0,0632;0,0795;0,1069;0,1534;0,2216;0,3234;0,4419;0,5812;0,7435
